"filename", "language", "PHP", "JSON with Comments", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\eladeb\useradministrador\deplyment\exibirFisioterapeuta.php", "PHP", 36, 0, 0, 0, 0, 0, 7, 43
"c:\xampp\htdocs\eladeb\useradministrador\deplyment\exibirFisioterapeutaPaciente.html", "HTML", 0, 0, 0, 0, 28, 2, 0, 30
"c:\xampp\htdocs\eladeb\useradministrador\include\navbarAdministrador.html", "HTML", 0, 0, 0, 0, 37, 3, 3, 43
"c:\xampp\htdocs\eladeb\useradministrador\pacienteCadastrar.php", "PHP", 64, 0, 0, 0, 0, 3, 8, 75
"c:\xampp\htdocs\eladeb\useradministrador\pacienteCadastrarBack.php", "PHP", 22, 0, 0, 0, 0, 2, 7, 31
"c:\xampp\htdocs\eladeb\useradministrador\pacienteExibir.php", "PHP", 75, 0, 0, 0, 0, 5, 12, 92
"c:\xampp\htdocs\eladeb\useradministrador\principaladministrador.php", "PHP", 29, 0, 0, 0, 0, 2, 6, 37
"c:\xampp\htdocs\eladeb\useradministrador\terapeutaCadastrar.php", "PHP", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\eladeb\useradministrador\terapeutaExibir.php", "PHP", 60, 0, 0, 0, 0, 5, 11, 76
"c:\xampp\htdocs\eladeb\userpaciente\avaliacaoA.php", "PHP", 53, 0, 0, 0, 0, 7, 12, 72
"c:\xampp\htdocs\eladeb\userpaciente\avaliacaoB\avaliacaoNivelA.php", "PHP", 95, 0, 0, 0, 0, 28, 22, 145
"c:\xampp\htdocs\eladeb\userpaciente\avaliacaoB\avaliacaoNivelB.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\eladeb\userpaciente\avaliacao_a\avaliacaoA.php", "PHP", 73, 0, 0, 0, 0, 7, 17, 97
"c:\xampp\htdocs\eladeb\userpaciente\avaliacao_a\avaliacaoAget.php", "PHP", 15, 0, 0, 0, 0, 8, 6, 29
"c:\xampp\htdocs\eladeb\userpaciente\avaliacao_a\avaliacaoC.php", "PHP", 53, 0, 0, 0, 0, 2, 11, 66
"c:\xampp\htdocs\eladeb\userpaciente\avaliacao_a\avaliacaoCA.php", "PHP", 56, 0, 0, 0, 0, 3, 10, 69
"c:\xampp\htdocs\eladeb\userpaciente\avaliacao_a\avaliacaoCB.php", "PHP", 38, 0, 0, 0, 0, 1, 5, 44
"c:\xampp\htdocs\eladeb\userpaciente\avaliacao_a\avaliacaoCC.php", "PHP", 57, 0, 0, 0, 0, 2, 11, 70
"c:\xampp\htdocs\eladeb\userpaciente\classAvaliacao.php", "PHP", 18, 0, 0, 0, 0, 0, 6, 24
"c:\xampp\htdocs\eladeb\userpaciente\include\avaliacaoControllerCad.php", "PHP", 36, 0, 0, 0, 0, 6, 9, 51
"c:\xampp\htdocs\eladeb\userpaciente\include\navbarPaciente.html", "HTML", 0, 0, 0, 0, 26, 12, 3, 41
"c:\xampp\htdocs\eladeb\userpaciente\old_files\avaliacaor.php", "PHP", 35, 0, 0, 0, 0, 2, 12, 49
"c:\xampp\htdocs\eladeb\userpaciente\old_files\principalavaliacao.php", "PHP", 35, 0, 0, 0, 0, 4, 12, 51
"c:\xampp\htdocs\eladeb\userpaciente\principalpaciente.php", "PHP", 114, 0, 0, 0, 0, 7, 19, 140
"c:\xampp\htdocs\eladeb\userterapeuta\cenarioCadastrar.php", "PHP", 80, 0, 0, 0, 0, 3, 10, 93
"c:\xampp\htdocs\eladeb\userterapeuta\cenarioCadastrarBack.php", "PHP", 40, 0, 0, 0, 0, 4, 10, 54
"c:\xampp\htdocs\eladeb\userterapeuta\cenarioDetalhes.php", "PHP", 68, 0, 0, 0, 0, 5, 9, 82
"c:\xampp\htdocs\eladeb\userterapeuta\cenarioExibir.php", "PHP", 77, 0, 0, 0, 0, 5, 9, 91
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadCenario.php", "PHP", 12, 0, 0, 0, 0, 1, 7, 20
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadConsulta.php", "PHP", 41, 0, 0, 0, 0, 0, 5, 46
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadPaciente.php", "PHP", 20, 0, 0, 0, 0, 0, 7, 27
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadastrarCenario.php", "PHP", 69, 0, 0, 0, 0, 8, 16, 93
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadastrarPaciente.html", "HTML", 0, 0, 0, 0, 35, 0, 4, 39
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadastrarPerguntas.html", "HTML", 0, 0, 0, 0, 27, 0, 3, 30
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\excluirPerguntas.php", "PHP", 9, 0, 0, 0, 0, 1, 3, 13
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\exibirCenarioMid.php", "PHP", 33, 0, 0, 0, 0, 3, 7, 43
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\exibirPaciente.php", "PHP", 39, 0, 0, 0, 0, 0, 7, 46
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\exibirPerguntas.php", "PHP", 34, 0, 0, 0, 0, 1, 6, 41
"c:\xampp\htdocs\eladeb\userterapeuta\include\navbarTerapeuta.html", "HTML", 0, 0, 0, 0, 30, 8, 3, 41
"c:\xampp\htdocs\eladeb\userterapeuta\pacienteAssociar.php", "PHP", 63, 0, 0, 0, 0, 5, 9, 77
"c:\xampp\htdocs\eladeb\userterapeuta\pacienteAssociarBack.php", "PHP", 37, 0, 0, 0, 0, 6, 11, 54
"c:\xampp\htdocs\eladeb\userterapeuta\perguntaCadastrar.php", "PHP", 72, 0, 0, 0, 0, 4, 10, 86
"c:\xampp\htdocs\eladeb\userterapeuta\perguntaCadastrarBack.php", "PHP", 33, 0, 0, 0, 0, 2, 9, 44
"c:\xampp\htdocs\eladeb\userterapeuta\perguntaExibir.php", "PHP", 65, 0, 0, 0, 0, 4, 8, 77
"c:\xampp\htdocs\eladeb\userterapeuta\principalterapeuta.php", "PHP", 81, 0, 0, 0, 0, 6, 11, 98
"c:\xampp\htdocs\eladeb\userterapeuta\resultadoExibir.php", "PHP", 88, 0, 0, 0, 0, 3, 15, 106
"c:\xampp\htdocs\eladeb\userterapeuta\resultadoTabelaPontos.php", "PHP", 809, 0, 0, 0, 0, 27, 50, 886
"c:\xampp\htdocs\eladeb\workspace-eladebV1.code-workspace", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 8
"Total", "-", 3111, 16, 480, 108, 300, 361, 626, 5002
